Cards: JJJJJ, Type: fiveOfAKind, Bid: 171
Cards: AAAAQ, Type: fourOfAKind, Bid: 20
Cards: AAKAA, Type: fourOfAKind, Bid: 246
Cards: AA5AA, Type: fourOfAKind, Bid: 743
Cards: AJAAA, Type: fourOfAKind, Bid: 648
Cards: A8AAA, Type: fourOfAKind, Bid: 59
Cards: A7AAA, Type: fourOfAKind, Bid: 900
Cards: A4AAA, Type: fourOfAKind, Bid: 836
Cards: A2AAA, Type: fourOfAKind, Bid: 40
Cards: KKKKQ, Type: fourOfAKind, Bid: 222
Cards: KKKK9, Type: fourOfAKind, Bid: 309
Cards: KKKK3, Type: fourOfAKind, Bid: 362
Cards: KKK4K, Type: fourOfAKind, Bid: 856
Cards: KJKKK, Type: fourOfAKind, Bid: 524
Cards: K6666, Type: fourOfAKind, Bid: 99
Cards: K5KKK, Type: fourOfAKind, Bid: 970
Cards: K2KKK, Type: fourOfAKind, Bid: 938
Cards: QKQQQ, Type: fourOfAKind, Bid: 438
Cards: QQQQT, Type: fourOfAKind, Bid: 142
Cards: QQQ7Q, Type: fourOfAKind, Bid: 230
Cards: Q3333, Type: fourOfAKind, Bid: 353
Cards: JQQQQ, Type: fourOfAKind, Bid: 563
Cards: J9999, Type: fourOfAKind, Bid: 802
Cards: J8JJJ, Type: fourOfAKind, Bid: 658
Cards: J6666, Type: fourOfAKind, Bid: 247
Cards: TAAAA, Type: fourOfAKind, Bid: 600
Cards: TKKKK, Type: fourOfAKind, Bid: 965
Cards: TKTTT, Type: fourOfAKind, Bid: 999
Cards: TJTTT, Type: fourOfAKind, Bid: 264
Cards: TTTT6, Type: fourOfAKind, Bid: 911
Cards: TTTT3, Type: fourOfAKind, Bid: 344
Cards: TT4TT, Type: fourOfAKind, Bid: 842
Cards: T9TTT, Type: fourOfAKind, Bid: 893
Cards: 9AAAA, Type: fourOfAKind, Bid: 623
Cards: 99A99, Type: fourOfAKind, Bid: 182
Cards: 999T9, Type: fourOfAKind, Bid: 561
Cards: 99992, Type: fourOfAKind, Bid: 721
Cards: 98888, Type: fourOfAKind, Bid: 598
Cards: 95999, Type: fourOfAKind, Bid: 347
Cards: 93999, Type: fourOfAKind, Bid: 452
Cards: 89999, Type: fourOfAKind, Bid: 492
Cards: 888Q8, Type: fourOfAKind, Bid: 559
Cards: 888J8, Type: fourOfAKind, Bid: 300
Cards: 88887, Type: fourOfAKind, Bid: 43
Cards: 88828, Type: fourOfAKind, Bid: 1
Cards: 86666, Type: fourOfAKind, Bid: 337
Cards: 7Q777, Type: fourOfAKind, Bid: 732
Cards: 777A7, Type: fourOfAKind, Bid: 576
Cards: 77797, Type: fourOfAKind, Bid: 946
Cards: 7777J, Type: fourOfAKind, Bid: 210
Cards: 77774, Type: fourOfAKind, Bid: 695
Cards: 77772, Type: fourOfAKind, Bid: 696
Cards: 6QQQQ, Type: fourOfAKind, Bid: 698
Cards: 69666, Type: fourOfAKind, Bid: 89
Cards: 68888, Type: fourOfAKind, Bid: 892
Cards: 6666Q, Type: fourOfAKind, Bid: 717
Cards: 66566, Type: fourOfAKind, Bid: 797
Cards: 66466, Type: fourOfAKind, Bid: 229
Cards: 62222, Type: fourOfAKind, Bid: 771
Cards: 5QQQQ, Type: fourOfAKind, Bid: 215
Cards: 5Q555, Type: fourOfAKind, Bid: 880
Cards: 55855, Type: fourOfAKind, Bid: 676
Cards: 555A5, Type: fourOfAKind, Bid: 57
Cards: 555J5, Type: fourOfAKind, Bid: 847
Cards: 55595, Type: fourOfAKind, Bid: 343
Cards: 55556, Type: fourOfAKind, Bid: 631
Cards: 55554, Type: fourOfAKind, Bid: 236
Cards: 55355, Type: fourOfAKind, Bid: 923
Cards: 55255, Type: fourOfAKind, Bid: 647
Cards: 4K444, Type: fourOfAKind, Bid: 641
Cards: 44644, Type: fourOfAKind, Bid: 124
Cards: 44544, Type: fourOfAKind, Bid: 153
